Date,Open,High,Low,Close,Total Trade Quantity
1571153040,0.02204397,0.02204397,0.02204397,0.02204397,0.1959131
1571153100,0.02204398,0.02204398,0.02204398,0.02204398,3.26781179
1571153160,0.02204398,0.02204398,0.02204398,0.02204398,3.26781179
1571153220,0.02204397,0.02204397,0.02204397,0.02204397,0.04113761
1571153280,0.02204397,0.02204397,0.02204397,0.02204397,0.04113761
1571153340,0.02204397,0.02204397,0.02204397,0.02204397,0.04113761
1571153400,0.02204397,0.02205896,0.02204397,0.02205896,5.88366387
1571153460,0.02204569,0.02204569,0.02204397,0.02204397,7.24662239
1571153520,0.02204396,0.02204397,0.02204396,0.02204396,6.13045886
1571153580,0.02204396,0.02204397,0.02204396,0.02204396,6.13045886
1571153640,0.02204396,0.02204396,0.0220312,0.0220312,2.34865374
1571153700,0.02203102,0.02203102,0.02203102,0.02203102,1.07309277
1571153760,0.02203102,0.02203102,0.02203102,0.02203102,1.07309277
1571153820,0.02204191,0.02204905,0.02204191,0.02204905,16.81137483
1571153880,0.022059,0.02206594,0.022059,0.02206594,4.13023376
1571153940,0.022059,0.02206594,0.022059,0.02206594,4.13023376
1571154000,0.022069,0.02207131,0.02205671,0.02205671,6.9615735
1571154060,0.022069,0.02207131,0.02205671,0.02205671,6.9615735
1571154120,0.022069,0.02207131,0.02205671,0.02205671,6.9615735
1571154180,0.022069,0.02207131,0.02205671,0.02205671,6.9615735
1571154240,0.022069,0.02207131,0.02205671,0.02205671,6.9615735
1571154300,0.02206266,0.02206266,0.02206266,0.02206266,0.11819891
1571154360,0.02207057,0.02207057,0.02205366,0.02205366,2.63460997
1571154420,0.02205999,0.02205999,0.02205999,0.02205999,3.68157128
1571154480,0.02205999,0.02205999,0.02205999,0.02205999,3.68157128
1571154540,0.02205999,0.02205999,0.02205999,0.02205999,3.68157128
1571154600,0.02206586,0.02206586,0.02206586,0.02206586,0.31961762
1571154660,0.0220634,0.0220634,0.0220634,0.0220634,0.04723984
1571154720,0.0220634,0.0220634,0.0220634,0.0220634,0.04723984
1571154780,0.02205857,0.02205857,0.02205857,0.02205857,3.59711128
1571154840,0.02205559,0.0220583,0.02205559,0.0220583,1.37757676
1571154900,0.02205559,0.0220583,0.02205559,0.0220583,1.37757676
1571154960,0.02205662,0.02205662,0.02205662,0.02205662,0.52804669
1571155020,0.02206018,0.02206018,0.02206018,0.02206018,0.22948141
1571155080,0.02206798,0.02206798,0.02206798,0.02206798,0.2
1571155140,0.02205794,0.02205794,0.02205794,0.02205794,0.085749
1571155200,0.0220663,0.0220663,0.0220663,0.0220663,0.02280666
1571155260,0.02203785,0.02203785,0.02203784,0.02203784,9.72146526
1571155320,0.02203785,0.02203785,0.02203784,0.02203784,9.72146526
1571155380,0.02203785,0.02203785,0.02203784,0.02203784,9.72146526
1571155440,0.02203786,0.02204611,0.02203786,0.02204611,1.16382306
1571155500,0.02204971,0.02204971,0.02204971,0.02204971,0.72591884
1571155560,0.02204971,0.02204971,0.02204971,0.02204971,0.72591884
1571155620,0.0220427,0.02204271,0.0220427,0.02204271,5.50612294
1571155680,0.0220427,0.02204271,0.0220427,0.02204271,5.50612294
